season,week,game_id,gameday,home_team,away_team,home_score,away_score,home_team_won,home_point_diff
2018,11,2018_11_PHI_NO,2018-11-18,NO,PHI,48.0,7.0,1,41.0
2018,11,2018_11_MIN_CHI,2018-11-18,CHI,MIN,25.0,20.0,1,5.0
2018,11,2018_11_KC_LA,2018-11-19,LA,KC,54.0,51.0,1,3.0
2018,12,2018_12_CHI_DET,2018-11-22,DET,CHI,16.0,23.0,0,-7.0
2018,12,2018_12_WAS_DAL,2018-11-22,DAL,WAS,31.0,23.0,1,8.0
2018,12,2018_12_ATL_NO,2018-11-22,NO,ATL,31.0,17.0,1,14.0
2018,12,2018_12_OAK_BAL,2018-11-25,BAL,OAK,34.0,17.0,1,17.0
2018,12,2018_12_JAX_BUF,2018-11-25,BUF,JAX,24.0,21.0,1,3.0
2018,12,2018_12_SEA_CAR,2018-11-25,CAR,SEA,27.0,30.0,0,-3.0
2018,12,2018_12_CLE_CIN,2018-11-25,CIN,CLE,20.0,35.0,0,-15.0
2018,12,2018_12_NE_NYJ,2018-11-25,NYJ,NE,13.0,27.0,0,-14.0
2018,12,2018_12_NYG_PHI,2018-11-25,PHI,NYG,25.0,22.0,1,3.0
2018,12,2018_12_SF_TB,2018-11-25,TB,SF,27.0,9.0,1,18.0
2018,12,2018_12_ARI_LAC,2018-11-25,LAC,ARI,45.0,10.0,1,35.0
2018,12,2018_12_PIT_DEN,2018-11-25,DEN,PIT,24.0,17.0,1,7.0
2018,12,2018_12_MIA_IND,2018-11-25,IND,MIA,27.0,24.0,1,3.0
2018,12,2018_12_GB_MIN,2018-11-25,MIN,GB,24.0,17.0,1,7.0
2018,12,2018_12_TEN_HOU,2018-11-26,HOU,TEN,34.0,17.0,1,17.0
2018,13,2018_13_NO_DAL,2018-11-29,DAL,NO,13.0,10.0,1,3.0
2018,13,2018_13_BAL_ATL,2018-12-02,ATL,BAL,16.0,26.0,0,-10.0
2018,13,2018_13_DEN_CIN,2018-12-02,CIN,DEN,10.0,24.0,0,-14.0
2018,13,2018_13_LA_DET,2018-12-02,DET,LA,16.0,30.0,0,-14.0
2018,13,2018_13_ARI_GB,2018-12-02,GB,ARI,17.0,20.0,0,-3.0
2018,13,2018_13_CLE_HOU,2018-12-02,HOU,CLE,29.0,13.0,1,16.0
2018,13,2018_13_IND_JAX,2018-12-02,JAX,IND,6.0,0.0,1,6.0
2018,13,2018_13_BUF_MIA,2018-12-02,MIA,BUF,21.0,17.0,1,4.0
2018,13,2018_13_CHI_NYG,2018-12-02,NYG,CHI,30.0,27.0,1,3.0
2018,13,2018_13_CAR_TB,2018-12-02,TB,CAR,24.0,17.0,1,7.0
2018,13,2018_13_KC_OAK,2018-12-02,OAK,KC,33.0,40.0,0,-7.0
2018,13,2018_13_NYJ_TEN,2018-12-02,TEN,NYJ,26.0,22.0,1,4.0
2018,13,2018_13_MIN_NE,2018-12-02,NE,MIN,24.0,10.0,1,14.0
2018,13,2018_13_SF_SEA,2018-12-02,SEA,SF,43.0,16.0,1,27.0
2018,13,2018_13_LAC_PIT,2018-12-02,PIT,LAC,30.0,33.0,0,-3.0
2018,13,2018_13_WAS_PHI,2018-12-03,PHI,WAS,28.0,13.0,1,15.0
2018,14,2018_14_JAX_TEN,2018-12-06,TEN,JAX,30.0,9.0,1,21.0
2018,14,2018_14_NYJ_BUF,2018-12-09,BUF,NYJ,23.0,27.0,0,-4.0
2018,14,2018_14_CAR_CLE,2018-12-09,CLE,CAR,26.0,20.0,1,6.0
2018,14,2018_14_ATL_GB,2018-12-09,GB,ATL,34.0,20.0,1,14.0
2018,14,2018_14_IND_HOU,2018-12-09,HOU,IND,21.0,24.0,0,-3.0
2018,14,2018_14_BAL_KC,2018-12-09,KC,BAL,27.0,24.0,1,3.0
2018,14,2018_14_NE_MIA,2018-12-09,MIA,NE,34.0,33.0,1,1.0
2018,14,2018_14_NO_TB,2018-12-09,TB,NO,14.0,28.0,0,-14.0
2018,14,2018_14_NYG_WAS,2018-12-09,WAS,NYG,16.0,40.0,0,-24.0
2018,14,2018_14_CIN_LAC,2018-12-09,LAC,CIN,26.0,21.0,1,5.0
