season,week,team,off_epa_per_play_before,def_epa_allowed_per_play_before,last3_off_epa_per_play,last3_def_epa_allowed_per_play
2022,10,LV,0.01229898899668929,0.09471426066562269,0.001974294583002726,0.13047200193007788
2022,11,LV,0.0028838198048853304,0.10075087934837745,-0.1282221476236979,0.16216964522997537
2022,12,LV,0.013256391414926072,0.09001247138734077,0.03243197749058405,0.11064806735763948
2022,13,LV,0.035231844770593726,0.08495838331139606,0.08188076068957646,0.059457152150571346
2022,14,LV,0.025345996645619834,0.06677312588472979,0.07435614864031474,-0.026456113594273727
2022,15,LV,0.025266167517746792,0.053689098126116754,0.04773822737236818,-0.06228859722614288
2022,16,LV,0.018540586822969475,0.04192109619830288,-0.0433685053139925,-0.11075148731470108
2022,17,LV,0.007580619561867636,0.037600259550237006,-0.07183015781144302,-0.0824925887087981
2022,18,LV,0.011244234324230695,0.0535238739526826,-0.05923383062084516,0.05798387403289477
2023,1,LV,0.0,0.0,0.0,0.0
2023,2,LV,0.16965523888083064,-0.0017189966482028627,0.1696552336215973,-0.0017189966747537255
2023,3,LV,-0.017031383514404298,0.17050809638444767,-0.04575240612030029,0.15256777469767258
2023,4,LV,-0.0718270736404612,0.12257517145035114,-0.07861853142579396,0.10763607465196401
2023,5,LV,-0.1007276358583425,0.08510512379016953,-0.19080552458763123,0.09677874793608983
2023,6,LV,-0.09633160961998834,0.03401769462384676,-0.1304097225268682,-0.06795982271432877
2023,7,LV,-0.07719429016113281,0.027950749091783272,-0.07839225170512994,-0.07574501587077975
2023,8,LV,-0.10118927224709169,0.053393135608082086,-0.102378789956371,-0.001075105896840493
2023,9,LV,-0.14284530438874898,0.024096553160412478,-0.2501558257887761,0.01675111846998334
2023,10,LV,-0.1262463615935983,-0.021850231667639504,-0.25337511440739036,-0.11143918832143147
2023,11,LV,-0.1325157866320949,-0.03280206792139213,-0.2352841361425817,-0.21852625409762064
2023,12,LV,-0.14377829113846305,-0.03962001964492579,-0.1454901659550766,-0.2085090552767118
2023,14,LV,-0.13397036505707402,-0.017047396389179584,-0.1549785596628984,0.009643626709779104
2023,15,LV,-0.15741085272077895,-0.03305949818004261,-0.24823060259222984,-0.014210067689418793
2023,16,LV,-0.12553162751374422,-0.05730894449594859,-0.07943500702579816,-0.10455351571242015
2023,17,LV,-0.1286775278490643,-0.07217894175444224,-0.13050825397173563,-0.2761945774157842
2023,18,LV,-0.1124617680747708,-0.061364382681761975,0.049605155984560646,-0.1622584213813146
2024,1,LV,0.0,0.0,0.0,0.0
2024,2,LV,-0.3348383499404131,-0.08854647783132699,-0.3348383605480194,-0.08854647725820541
2024,3,LV,-0.2500356253931078,-0.04660070891928884,-0.2500356286764145,-0.04969506897032261
2024,4,LV,-0.1937520316477572,0.047596522739955356,-0.19437739998102188,0.03415713583429655
2024,5,LV,-0.18585840861002603,0.008115796364500931,-0.13588052739699683,0.024357471615076065
2024,6,LV,-0.18873677109227036,0.019350198348634478,-0.14707324157158533,0.050996301074822746
2024,7,LV,-0.19814824791593924,0.032743429733534994,-0.20071005324522653,0.01606740305821101
2024,8,LV,-0.2228061772934559,-0.0069180951260104035,-0.26109637320041656,-0.04052467147509257
2024,9,LV,-0.20481737552846901,0.017975678810706504,-0.21411009257038435,-0.005176405111948649
2024,11,LV,-0.21344898468857512,0.027050146177494325,-0.2276363136867682,-0.008001784483591715
2024,12,LV,-0.18311490510639392,0.05723150889078776,-0.08770109340548515,0.19273600975672403
2024,13,LV,-0.1862200766407971,0.055451385956957824,-0.13911114633083344,0.14736995721856752
2024,14,LV,-0.16413642195320385,0.0466757108087409,-0.01811859756708145,0.1034683274726073
2024,15,LV,-0.16289385850021323,0.052463845759441345,-0.09396471828222275,0.03999767576654752
